año,Importe del contrato,Código del contrato,Proveedor o contratista,Siglas de la Institución,producto,Número del procedimiento,Descripción 3,Tipo de contratación,dia,Fecha de inicio del contrato
2021,1016590.0,2602060,CHRISTIAN ALVAREZ CASTANEDA,IMSS,Servicios,AA-050GYR033-E272-2021,,Servicios,08-06-2023,2021-09-30
2021,147957.04,2911238,HEMOST SA DE CV,IMSS,,LA-050GYR027-E247-2021,,Adquisiciones,08-06-2023,2021-10-29
2021,112125.0,2653880,ABALAT SA DE CV,INER,,AA-012NCD001-E592-2021,,Adquisiciones,08-06-2023,2021-12-14
2021,1384841.54,2612068,EQUIVER SA DE CV,HJM,,AA-012NAW001-E834-2021,,Adquisiciones,08-06-2023,2021-10-11
2022,890750.0,2927447,SERVICIO Y VENTA DE INSUMOS MEDICOS ESPECIALI,IMSS,Accesorios,AA-050GYR040-E41-2022,,Adquisiciones,08-06-2023,2022-09-12
2021,116583.78,2655418,ENDOSCOPIA E INSTRUMENTOS SA DE CV,IMSS,,LA-050GYR006-E453-2021,,Adquisiciones,08-06-2023,2021-11-17
2021,110250.0,2966032,VITASANITAS SA DE CV,IMSS,,AA-050GYR082-E61-2021,,Adquisiciones,08-06-2023,2021-12-02
2022,1553500.0,2890087,MIRK PENINSULAR TECNOLOGIAS SA DE CV,OAX,Servicios,IA-920042950-E9-2022,,Servicios,08-06-2023,2022-09-23
2022,589820.0,2890507,CENTRO DE COMERCIALIZACION Y FABRICACION DE M,IMSS,Otros,AA-050GYR014-E634-2022,,Adquisiciones,08-06-2023,2022-10-18
2021,4890867.0,2563268,CONTROL TECNICO Y REPRESENTACIONES SA DE CV,CINVESTAV,Laboratorio,AA-011L4J999-E83-2021,,Adquisiciones,08-06-2023,2021-08-09
2021,4850.0,2657043,AH CORPORATIVO MEDICO DE MEXICO SA DE CV,IMSS,,LA-050GYR007-E769-2021,,Adquisiciones,08-06-2023,2021-12-01
2022,106900.0,2747505,SECURE INC SA DE CV,IMSS,Servicios,AA-050GYR058-E126-2022,,Adquisiciones,08-06-2023,2022-02-28
2022,3867974.4,2902991,B BRAUN MEDICAL DE MEXICO S A P I DE CV,IMSS,,LA-050GYR029-E414-2022,,Adquisiciones,08-06-2023,2022-10-15
2022,926913.69,2766695,INGENIERIA APLICADA A LA SALUD SA DE CV,IMSS,Servicios,LA-050GYR016-E22-2022,,Servicios,08-06-2023,2022-02-17
2022,98843.0,2890458,LAB TECH INSTRUMENTACION SA DE CV,INECOL,Laboratorio,AA-03891Q002-E46-2022,,Adquisiciones,08-06-2023,2022-10-14
2022,1849200.0,2903671,AMC BIOMEDICAL SA DE CV,IMSS,Servicios,LA-050GYR978-E32-2022,,Servicios,08-06-2023,2022-08-20
2022,2164249.72,2768698,INGENIERIA APLICADA A LA SALUD SA DE CV,IMSS,Servicios,IA-050GYR016-E47-2022,,Servicios,08-06-2023,2022-02-24
2021,66240.0,2652160,AZTEC MEDIC SA DE CV,IMSS,Consumibles,AA-050GYR998-E220-2021,,Adquisiciones,08-06-2023,2021-11-16
2022,2241379.32,2907962,CYBER ROBOTIC SOLUTIONS SA DE CV,HG,Servicios,AA-012NBB001-E75-2022,,Servicios,08-06-2023,2022-10-14
2022,423950.0,2890072,BARXE SA DE CV,OAX,Servicios,IA-920042950-E9-2022,,Servicios,08-06-2023,2022-09-23
2021,1935000.0,2610858,MEDICAL INTEGRAL & ORTHOPAEDICS SA DE CV,IMSS,Servicios,AA-050GYR025-E213-2021,,Servicios,08-06-2023,2021-07-21
2022,604080.0,2908435,STRYKER MEXICO SA DE CV,INCARD,Camas,LA-012NCA001-E819-2022,,Adquisiciones,08-06-2023,2022-03-11
2022,11001729.92,2908567,TERUMO MEDICAL DE MEXICO SA DE CV,INCARD,Bomba Extracorpórea,LA-012NCA001-E819-2022,,Adquisiciones,08-06-2023,2022-03-11
2021,585400.0,2611551,REPRESENTACIONES Y DISTRIBUCIONES DEL RELLO S,INSABI,Construccion,AA-012M7B998-E107-2021,,Adquisiciones,08-06-2023,2021-09-01
2022,35400.0,2905709,REPRESENTACIONES INTERNACIONALES EN EQUIPO PA,INCMNSZ,Otros,AA-012NCG001-E2180-2022,,Adquisiciones,08-06-2023,2022-10-13
2021,26991.0,2469341,MERCK SA DE CV,CINVESTAV,Servicios,AA-011L4J995-E67-2021,,Servicios,08-06-2023,2021-03-23
2021,1089625.0,2582034,CIENTEC SA DE CV,SEDENA,Laboratorio,LA-007000997-E295-2021,,Adquisiciones,08-06-2023,2021-08-19
2021,479551.08,2612606,JELIOM SA DE CV,COAH,Terapia,LA-905040987-E11-2021,,Adquisiciones,08-06-2023,2021-09-09
2022,311000.0,2771980,FEHLMEX SA DE CV,INSABI,Refrigeracion,AA-012M7B998-E2-2022,,Adquisiciones,08-06-2023,2022-02-28
2022,3115708.38,2771996,INELBIO SA DE CV,INSABI,Camas,AA-012M7B998-E2-2022,,Adquisiciones,08-06-2023,2022-02-28
2022,14927000.0,2772004,MANTENIMIENTO PREVENTIVO Y CORRECTIVO SA DE C,INSABI,Otros,AA-012M7B998-E2-2022,,Adquisiciones,08-06-2023,2022-02-28
2021,515000.0,2612771,MAQUET MEXICANA S DE RL DE CV,SEMAR,Servicios,AA-013000999-E1342-2021,,Servicios,08-06-2023,2021-09-28
2022,723750.0,2784875,HUGO ANTONIO ENRIQUEZ SANCHEZ,IMSS,Servicios,LA-050GYR013-E55-2022,,Servicios,08-06-2023,2022-12-01
2022,15646197.0,2818997,ALTA TECNOLOGIA EN EQUIPO MEDICO ISAGEI SA DE,IMSS,Camas,LA-050GYR040-E19-2022,,Adquisiciones,08-06-2023,2022-07-13
2022,14112000.0,2818998,VENSI VENTAJAS EN SERVICIOS INTEGRALES S A P,IMSS,Camas,LA-050GYR040-E19-2022,,Adquisiciones,08-06-2023,2022-07-13
2022,92872000.0,2818999,FEHLMEX SA DE CV,IMSS,Esterilizador,LA-050GYR040-E19-2022,,Adquisiciones,08-06-2023,2022-07-13
2022,30184000.0,2819000,RADIOLOGIA Y ELECTRONICA DE MEXICO SA DE CV,IMSS,Ultrasonido,LA-050GYR040-E19-2022,,Adquisiciones,08-06-2023,2022-07-13
2022,73400.0,2703243,IMPULSORA LIDER SA DE CV,IMSS,Servicios,AA-050GYR058-E63-2022,,Adquisiciones,08-06-2023,2022-02-02
2021,1396200.0,2594703,FUJIFILM DE MEXICO SA DE CV,INER,Consumibles,AA-012NCD001-E420-2021,,Adquisiciones,08-06-2023,2021-09-10
2021,156750.0,2647911,LEOPOLDO SILVESTRE MARTINEZ SANCHEZ,LICONSA,Servicios,IA-008VST955-E114-2021,,Servicios,08-06-2023,2021-10-29
2021,339999.99,2613274,MARIA ISABEL TELLEZ ROMERO,SSA,Servicios,AA-012000991-E292-2021,,Servicios,08-06-2023,2021-09-08
2022,7751000.0,2779239,ORTHO IMPLANTES SA DE CV,IMSS,Ortopedia,LA-050GYR082-E39-2022,,Adquisiciones,08-06-2023,2022-01-06
2022,1789400.0,2779263,SUMINISTRO Y VENTA DE EQUIPOS MEDICOS SA DE C,INR,Servicios,AA-012NDF999-E268-2022,,Servicios,08-06-2023,2022-01-03
2021,1720000.0,2649310,BERCLAN SA DE CV,IMSS,,AA-050GYR032-E179-2021,,Adquisiciones,08-06-2023,2021-11-26
2022,6962230.0,2874961,SYSVERESA SA DE CV,ASA,Servicios,LA-009JZL002-E81-2022,,Adquisiciones,08-06-2023,2022-10-14
2022,52875.0,2836815,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E66-2022,,Adquisiciones,08-06-2023,2022-06-28
2022,190092.9,2836817,DISTRIBUIDORA SEVI SA DE CV,IMSS,,AA-050GYR082-E66-2022,,Adquisiciones,08-06-2023,2022-06-28
2022,1191000.0,2809603,COMERCIALIZADORA FOCE SA DE CV,IMSS,Consumibles,LA-050GYR082-E34-2022,,Adquisiciones,08-06-2023,2022-05-05
2022,515200.0,2865698,DAVID LEMOINE LOPEZ,INR,Servicios,AA-012NDF999-E515-2022,,Servicios,08-06-2023,2022-03-16
2021,285000.0,2534765,CASONATO STEELCO SPA SA DE CV,IMSS,Consumibles,AA-050GYR031-E180-2021,,Adquisiciones,08-06-2023,2021-05-29
2021,1654856.0,2582706,DISTRIBUIDORA INTERNACIONAL HOSPITALARIA SA D,IMSS,Servicios,LA-050GYR033-E213-2021,,Servicios,08-06-2023,2021-09-01
2022,32000.0,2942421,CRISSOF DE MEXICO S DE RL DE CV,CICY,Servicios,AA-03890Q010-E231-2022,,Servicios,08-06-2023,2022-07-11
2022,51809.3,2951713,ASESORIA Y EQUIPOS DE INSPECCION SA DE CV,CIDESI,Endoscopia,AA-0389ZU001-E137-2022,,Adquisiciones,08-06-2023,2022-09-09
2021,74645.0,2613075,LAB TECH INSTRUMENTACION SA DE CV,IMSS,Servicios,AA-050GYR067-E240-2021,,Servicios,08-06-2023,2021-10-12
2021,1483500.0,2611682,ALSA DOSIMETRIA S DE RL DE CV,SEMAR,Instrumental medico,AA-013000999-E1320-2021,,Adquisiciones,08-06-2023,2021-10-11
2021,5970.0,2469762,CONSORCIO COMERCIAL PETRORENT SA DE CV,HJM,Servicios,AA-012NAW001-E276-2021,,Adquisiciones,08-06-2023,2021-03-19
2021,150150.0,2611700,SUMINISTRO PARA USO MEDICO Y HOSPITALARIO SA,INPER,Servicios,AA-012NDE001-E212-2021,,Servicios,08-06-2023,2021-10-11
2021,30419.0,2655176,INDUSTRIAL KEM DE LEON SA DE CV,IPICYT,Servicios,AA-03891W001-E468-2021,,Adquisiciones,08-06-2023,2021-12-21
2021,364100.0,2535702,INGENIERIA Y CALIBRACIONES DE EQUIPOS PARA MO,IMP,Servicios,IA-018T0O004-E167-2021,,Servicios,08-06-2023,2021-06-30
2021,205315.65,2655234,ITM INTERNACIONAL DE TECNOLOGIAS MEDICAS SA D,IMSS,Servicios,AA-050GYR983-E52-2021,,Servicios,08-06-2023,2021-09-20
2021,154838.0,2582379,METTLER TOLEDO SA DE CV,INER,Laboratorio,AA-012NCD001-E382-2021,,Adquisiciones,08-06-2023,2021-08-24
2022,53667405.1,2772014,POLAR HOSPITALARIA SA DE CV,INSABI,Camas,AA-012M7B998-E2-2022,,Adquisiciones,08-06-2023,2022-02-28
2021,150000.0,2536528,COMERCIALIZADORA INTERNACIONAL DE COMPRESORES,IMSS,Servicios,AA-050GYR057-E231-2021,,Servicios,08-06-2023,2021-06-15
2021,458844.75,2612040,SUMINISTROS Y EQUIPOS TECNOLOGICOS REGIOMONTA,INSP,,LA-012NDY002-E74-2021,,Adquisiciones,08-06-2023,2021-10-04
